idjunc,typejunc,xjunc,yjunc,incLanes,intLanes
1114113936,right_before_left,1127.11,401.58,"['96152204#3_0', '96152229#4_0', '-96152229#5_0']","[':1114113936_0_0', ':1114113936_1_0', ':1114113936_2_0', ':1114113936_3_0', ':1114113936_4_0', ':1114113936_5_0', ':1114113936_6_0', ':1114113936_7_0', ':1114113936_8_0']"
1114113964,priority,1023.11,484.84,['-96152210_0'],[':1114113964_0_0']
1114113976,right_before_left,1314.68,329.17,"['-96152252#0_0', '119859564#3_0', '-119859564#4_0']","[':1114113976_0_0', ':1114113976_1_0', ':1114113976_2_0', ':1114113976_3_0', ':1114113976_4_0', ':1114113976_5_0', ':1114113976_6_0', ':1114113976_7_0', ':1114113976_8_0']"
1114114002,priority,1263.59,390.32,"['121860455#1_0', '96152201#1_0']","[':1114114002_0_0', ':1114114002_1_0']"
1114114009,priority,1425.50,379.88,"['-96152259#0_0', '96152213_0']","[':1114114009_0_0', ':1114114009_4_0', ':1114114009_2_0', ':1114114009_5_0']"
1114114016,right_before_left,1224.41,522.94,"['-96152260#2_0', '-96152212_0', '96152260#1_0']","[':1114114016_0_0', ':1114114016_1_0', ':1114114016_2_0', ':1114114016_3_0', ':1114114016_4_0', ':1114114016_5_0', ':1114114016_6_0', ':1114114016_7_0', ':1114114016_8_0']"
1114114025,right_before_left,1060.17,447.45,"['96152238#2_0', '96152229#6_0', '-96152229#7_0']","[':1114114025_0_0', ':1114114025_1_0', ':1114114025_2_0', ':1114114025_3_0', ':1114114025_4_0', ':1114114025_5_0', ':1114114025_6_0', ':1114114025_7_0', ':1114114025_8_0']"
1114114032,right_before_left,1114.65,433.20,"['-96152204#2_0', '96152204#1_0', '-96152238#0_0']","[':1114114032_0_0', ':1114114032_1_0', ':1114114032_2_0', ':1114114032_3_0', ':1114114032_4_0', ':1114114032_5_0', ':1114114032_6_0', ':1114114032_7_0', ':1114114032_8_0']"
1114114046,right_before_left,993.82,575.36,"['-96152245#1_0', '96152245#3_0', '96152245#0_0']","[':1114114046_0_0', ':1114114046_1_0', ':1114114046_2_0', ':1114114046_3_0', ':1114114046_4_0', ':1114114046_5_0', ':1114114046_6_0', ':1114114046_7_0', ':1114114046_8_0']"
1114114052,right_before_left,1169.50,411.19,"['-96152248#1_0', '96152248#0_0', '96152196_0']","[':1114114052_0_0', ':1114114052_1_0', ':1114114052_2_0', ':1114114052_3_0', ':1114114052_4_0', ':1114114052_5_0', ':1114114052_6_0', ':1114114052_7_0', ':1114114052_8_0']"
1114114063,right_before_left,1274.51,509.74,"['-96152260#3_0', '-96152233_0', '96152260#2_0']","[':1114114063_0_0', ':1114114063_1_0', ':1114114063_2_0', ':1114114063_3_0', ':1114114063_4_0', ':1114114063_5_0', ':1114114063_6_0', ':1114114063_7_0', ':1114114063_8_0']"
1114114064,right_before_left,1291.13,360.87,"['96152229#0_0', '-96152239#0_0', '-96152229#1_0']","[':1114114064_0_0', ':1114114064_1_0', ':1114114064_2_0', ':1114114064_3_0', ':1114114064_4_0', ':1114114064_5_0', ':1114114064_6_0', ':1114114064_7_0', ':1114114064_8_0']"
1114114075,right_before_left,1138.09,435.55,"['-96152196_0', '-96152204#3_0', '96152204#2_0']","[':1114114075_0_0', ':1114114075_1_0', ':1114114075_2_0', ':1114114075_3_0', ':1114114075_4_0', ':1114114075_5_0', ':1114114075_6_0', ':1114114075_7_0', ':1114114075_8_0']"
1114114090,priority,1374.40,176.86,['-119859564#0_0'],[':1114114090_0_0']
1114114099,right_before_left,1306.39,366.79,"['96152253#1_0', '-96152229#0_0']","[':1114114099_0_0', ':1114114099_1_0', ':1114114099_2_0', ':1114114099_3_0']"
