idjunc,typejunc,xjunc,yjunc,incLanes,intLanes
1554826357,priority,2259.24,761.33,['142059672_0'],[':1554826357_0_0']
1554826365,right_before_left,2294.32,719.74,"['142059678#1_0', '142059676#1_0']","[':1554826365_0_0', ':1554826365_1_0']"
1554826380,priority,2256.45,635.74,"['142059671#3_0', '-142059679_0']","[':1554826380_0_0', ':1554826380_4_0', ':1554826380_2_0', ':1554826380_5_0']"
1554826388,right_before_left,2292.14,673.70,"['142059682_0', '142059673#1_0']","[':1554826388_0_0', ':1554826388_1_0']"
1554826402,dead_end,2333.11,711.47,['142059683#1_0'],[]
1554826409,right_before_left,2306.04,717.36,"['142059685_0', '142059678#3_0']","[':1554826409_0_0', ':1554826409_1_0']"
1554826425,priority,2257.56,679.33,['142059673#0_0'],"[':1554826425_0_0', ':1554826425_1_0']"
1554826426,dead_end,2254.12,686.82,[],[]
1554826435,priority,2314.92,756.02,['-119372736#0_0'],[':1554826435_0_0']
1554826442,right_before_left,2266.71,730.95,"['142059680#1_0', '142059676#0_0']","[':1554826442_0_0', ':1554826442_1_0']"
1554826447,right_before_left,2293.80,786.89,"['142059675_0', '119372736#0_0', '-119372736#1_0']","[':1554826447_0_0', ':1554826447_1_0', ':1554826447_2_0', ':1554826447_3_0', ':1554826447_4_0', ':1554826447_5_0', ':1554826447_6_0', ':1554826447_7_0', ':1554826447_8_0']"
1554826454,right_before_left,2244.16,795.86,"['-142059675_0', '119372736#1_0', '142059674#1_0', '-119372736#2_0']","[':1554826454_0_0', ':1554826454_1_0', ':1554826454_2_0', ':1554826454_3_0', ':1554826454_4_0', ':1554826454_5_0', ':1554826454_6_0', ':1554826454_7_0', ':1554826454_8_0', ':1554826454_9_0', ':1554826454_10_0', ':1554826454_11_0', ':1554826454_12_0', ':1554826454_13_0', ':1554826454_14_0', ':1554826454_15_0']"
1554826455,dead_end,2327.13,667.95,[],[]
1554826459,dead_end,2302.61,672.04,['142059673#2_0'],[]
1554826465,right_before_left,2259.78,690.60,"['142059680#0_0', '142059678#0_0']","[':1554826465_0_0', ':1554826465_1_0', ':1554826465_2_0', ':1554826465_3_0']"
1554826469,dead_end,2247.45,690.53,[],[]
1554826471,priority,2235.96,639.30,"['142059679_0', '-142059674#0_0']","[':1554826471_0_0', ':1554826471_4_0', ':1554826471_2_0', ':1554826471_5_0']"
1554826472,priority,2392.07,613.77,['-142059671#0_0'],[':1554826472_0_0']
1554826473,dead_end,2374.77,676.21,['142059678#6_0'],[]
1554826475,dead_end,2351.54,643.20,[],[]
1554826482,priority,2299.05,719.04,['142059678#2_0'],"[':1554826482_0_0', ':1554826482_1_0']"
1554826484,right_before_left,2331.09,693.98,"['142059683#0_0', '142059678#4_0']","[':1554826484_0_0', ':1554826484_1_0', ':1554826484_2_0', ':1554826484_3_0']"
1554826487,right_before_left,2342.13,686.88,"['142059684_0', '142059678#5_0']","[':1554826487_0_0', ':1554826487_1_0']"
1554833981,priority,2365.70,686.83,['-142060074_0'],[':1554833981_0_0']
1554834008,priority,2347.99,613.93,['-142060073_0'],[':1554834008_0_0']
1554834044,priority,2390.30,679.03,['142060074_0'],[':1554834044_0_0']
1554834076,right_before_left,2402.44,521.34,"['118075890#1_0', '-118075890#2_0']","[':1554834076_0_0', ':1554834076_1_0', ':1554834076_2_0', ':1554834076_3_0', ':1554834076_4_0', ':1554834076_5_0']"
1554834080,priority,2662.83,584.15,['-142060077#0_0'],[':1554834080_0_0']
1554834082,right_before_left,2664.22,609.15,"['22737644#0_0', '142060077#1_0', '-22737644#1_0']","[':1554834082_0_0', ':1554834082_1_0', ':1554834082_2_0', ':1554834082_3_0', ':1554834082_4_0', ':1554834082_5_0', ':1554834082_6_0', ':1554834082_7_0', ':1554834082_8_0']"
1554834083,priority,2557.94,685.30,['-142060075_0'],[':1554834083_0_0']
1554834115,right_before_left,2326.17,623.10,"['145847114_0', '142059671#2_0', '-142059671#3_0']","[':1554834115_0_0', ':1554834115_1_0', ':1554834115_2_0', ':1554834115_3_0', ':1554834115_4_0', ':1554834115_5_0', ':1554834115_6_0', ':1554834115_7_0', ':1554834115_8_0']"
1554834116,right_before_left,2326.71,627.53,"['-145847114_0', '145847108_0']","[':1554834116_0_0', ':1554834116_1_0', ':1554834116_2_0', ':1554834116_3_0']"
1554840087,priority,2595.76,533.50,"['142060690_0', '-142060688#0_0']","[':1554840087_0_0', ':1554840087_4_0', ':1554840087_2_0', ':1554840087_5_0']"
1554840090,priority,2635.17,531.23,['-142060690_0'],[':1554840090_0_0']
1554840092,dead_end,2603.57,563.75,['142060684#1_0'],[]
1554840094,dead_end,2654.37,559.72,[],[]
1554840101,dead_end,2600.98,570.12,[],[]
1554840107,right_before_left,2610.79,563.17,"['142060684#0_0', '142060691_0']","[':1554840107_0_0', ':1554840107_1_0']"
1554840125,dead_end,2603.78,518.47,['142060686#2_0'],[]
1554840138,priority,2573.02,543.09,['142060686#0_0'],"[':1554840138_0_0', ':1554840138_1_0']"
1554840141,priority,2574.60,534.72,"['142060688#0_0', '-142060688#1_0', '142060686#1_0']","[':1554840141_0_0', ':1554840141_9_0', ':1554840141_10_0', ':1554840141_3_0', ':1554840141_4_0', ':1554840141_11_0', ':1554840141_6_0', ':1554840141_7_0', ':1554840141_8_0']"
1554840142,right_before_left,2549.30,536.19,"['-22737645#12_0', '142060688#1_0', '22737645#11_0']","[':1554840142_0_0', ':1554840142_1_0', ':1554840142_2_0', ':1554840142_3_0', ':1554840142_4_0', ':1554840142_5_0', ':1554840142_6_0', ':1554840142_7_0', ':1554840142_8_0']"
1554842598,dead_end,3275.45,757.84,[],[]
1562335961,priority,1404.87,388.13,"['143377537_0', '96152222_0', '96152205#3_0']","[':1562335961_0_0', ':1562335961_1_0', ':1562335961_2_0', ':1562335961_3_0', ':1562335961_9_0', ':1562335961_10_0', ':1562335961_6_0', ':1562335961_7_0', ':1562335961_11_0']"
1562335966,priority,1324.94,379.82,['96152253#0_0'],"[':1562335966_0_0', ':1562335966_1_0']"
1562335968,priority,1383.97,382.17,"['121860434#1_0', '96152205#1_0', '-96152205#2_0']","[':1562335968_0_0', ':1562335968_1_0', ':1562335968_2_0', ':1562335968_6_0', ':1562335968_4_0', ':1562335968_7_0']"
1562335976,priority,1398.58,405.56,"['96152251#1_0', '-96152251#2_0', '119372734#2_0']","[':1562335976_0_0', ':1562335976_6_0', ':1562335976_2_0', ':1562335976_7_0', ':1562335976_4_0', ':1562335976_5_0']"
1562335984,priority,1346.49,362.85,"['-96152216#1_0', '96152216#0_0', '119372735#1_0']","[':1562335984_0_0', ':1562335984_9_0', ':1562335984_10_0', ':1562335984_3_0', ':1562335984_4_0', ':1562335984_11_0', ':1562335984_6_0', ':1562335984_7_0', ':1562335984_8_0']"
1562335987,priority,1345.35,385.98,"['96152251#4_0', '-96152251#5_0', '119372735#0_0']","[':1562335987_0_0', ':1562335987_9_0', ':1562335987_10_0', ':1562335987_3_0', ':1562335987_4_0', ':1562335987_11_0', ':1562335987_6_0', ':1562335987_7_0', ':1562335987_8_0']"
1562335988,priority,1288.81,339.17,"['-121860445#1_0', '121860445#0_0', '121860450_0']","[':1562335988_0_0', ':1562335988_6_0', ':1562335988_2_0', ':1562335988_7_0', ':1562335988_4_0', ':1562335988_5_0']"
1562335990,right_before_left,1365.86,393.82,"['96152251#3_0', '-96152251#4_0']","[':1562335990_0_0', ':1562335990_1_0', ':1562335990_2_0', ':1562335990_3_0', ':1562335990_4_0', ':1562335990_5_0']"
1562335991,priority,1165.28,455.48,['96152254_0'],"[':1562335991_0_0', ':1562335991_1_0']"
1562335995,right_before_left,1431.12,347.87,"['96152259#1_0', '-96152259#2_0']","[':1562335995_0_0', ':1562335995_1_0', ':1562335995_2_0', ':1562335995_3_0', ':1562335995_4_0', ':1562335995_5_0']"
1562336003,right_before_left,1249.26,380.54,"['-96152201#1_0', '96152201#0_0']","[':1562336003_0_0', ':1562336003_1_0', ':1562336003_2_0', ':1562336003_3_0', ':1562336003_4_0', ':1562336003_5_0']"
1562336004,priority,1283.45,382.71,"['96152260#7_0', '121860455#0_0', '-96152260#8_0']","[':1562336004_0_0', ':1562336004_1_0', ':1562336004_9_0', ':1562336004_3_0', ':1562336004_4_0', ':1562336004_5_0', ':1562336004_6_0', ':1562336004_10_0', ':1562336004_11_0']"
1562336007,right_before_left,1402.92,407.02,"['96152251#0_0', '-96152251#1_0']","[':1562336007_0_0', ':1562336007_1_0', ':1562336007_2_0', ':1562336007_3_0', ':1562336007_4_0', ':1562336007_5_0']"
1591757071,dead_end,2391.77,618.46,['142060076_0'],[]
1591757175,dead_end,2259.88,638.71,[],[]
1591774038,right_before_left,2152.24,742.25,"['145848972_0', '145848970#2_0', '145848966#1_0']","[':1591774038_0_0', ':1591774038_1_0', ':1591774038_2_0']"
1591774040,right_before_left,2056.54,742.95,"['-145848964#0_0', '145848957#1_0']","[':1591774040_0_0', ':1591774040_1_0', ':1591774040_2_0', ':1591774040_3_0']"
1591774067,priority,2104.75,701.24,['145848962#6_0'],"[':1591774067_0_0', ':1591774067_1_0', ':1591774067_2_0']"
1591774072,right_before_left,2166.59,780.51,"['142052149#0_0', '-145848960#0_0']","[':1591774072_0_0', ':1591774072_1_0', ':1591774072_2_0', ':1591774072_3_0']"
1591774093,right_before_left,2149.64,727.22,"['145848970#1_0', '145848964#1_0']","[':1591774093_0_0', ':1591774093_1_0', ':1591774093_2_0', ':1591774093_3_0']"
1591774099,right_before_left,2112.93,749.08,"['145848962#3_0', '-145848966#1_0', '-145848962#4_0', '145848966#0_0']","[':1591774099_0_0', ':1591774099_1_0', ':1591774099_2_0', ':1591774099_3_0', ':1591774099_4_0', ':1591774099_5_0', ':1591774099_6_0', ':1591774099_7_0', ':1591774099_8_0', ':1591774099_9_0', ':1591774099_10_0', ':1591774099_11_0', ':1591774099_12_0', ':1591774099_13_0', ':1591774099_14_0', ':1591774099_15_0']"
1591774134,right_before_left,2120.44,790.01,"['142052149#2_0', '-145848962#0_0']","[':1591774134_0_0', ':1591774134_1_0', ':1591774134_2_0', ':1591774134_3_0']"
1591774149,right_before_left,2110.22,733.36,"['145848962#4_0', '-145848964#1_0', '-145848962#5_0', '145848964#0_0']","[':1591774149_0_0', ':1591774149_1_0', ':1591774149_2_0', ':1591774149_3_0', ':1591774149_4_0', ':1591774149_5_0', ':1591774149_6_0', ':1591774149_7_0', ':1591774149_8_0', ':1591774149_9_0', ':1591774149_10_0', ':1591774149_11_0', ':1591774149_12_0', ':1591774149_13_0', ':1591774149_14_0', ':1591774149_15_0']"
1591774156,right_before_left,2119.19,784.40,"['145848962#0_0', '-145848962#1_0', '142052132#0_0']","[':1591774156_0_0', ':1591774156_1_0', ':1591774156_2_0', ':1591774156_3_0', ':1591774156_4_0', ':1591774156_5_0', ':1591774156_6_0', ':1591774156_7_0', ':1591774156_8_0']"
1591774187,right_before_left,2066.37,757.91,"['145848974_0', '-145848966#0_0', '145848957#2_0']","[':1591774187_0_0', ':1591774187_1_0', ':1591774187_2_0']"
1591774199,right_before_left,2165.83,776.13,"['145848960#0_0', '-145848960#1_0', '142052132#1_0']","[':1591774199_0_0', ':1591774199_1_0', ':1591774199_2_0', ':1591774199_3_0', ':1591774199_4_0', ':1591774199_5_0', ':1591774199_6_0', ':1591774199_7_0', ':1591774199_8_0']"
1591774204,priority,2152.37,698.87,['145848960#2_0'],[':1591774204_0_0']
1591774239,right_before_left,2146.67,710.05,"['145848970#0_0', '145848969#1_0']","[':1591774239_0_0', ':1591774239_1_0', ':1591774239_2_0', ':1591774239_3_0']"
1591774244,right_before_left,2049.67,727.55,"['-145848969#0_0', '145848957#0_0']","[':1591774244_0_0', ':1591774244_1_0', ':1591774244_2_0', ':1591774244_3_0']"
1591774257,right_before_left,2115.69,764.67,"['145848962#2_0', '-145848962#3_0']","[':1591774257_0_0', ':1591774257_1_0', ':1591774257_2_0', ':1591774257_3_0', ':1591774257_4_0', ':1591774257_5_0', ':1591774257_6_0', ':1591774257_7_0']"
1591774260,right_before_left,2107.51,717.14,"['145848962#5_0', '-145848969#1_0', '-145848962#6_0', '145848969#0_0']","[':1591774260_0_0', ':1591774260_1_0', ':1591774260_2_0', ':1591774260_3_0', ':1591774260_4_0', ':1591774260_5_0', ':1591774260_6_0', ':1591774260_7_0', ':1591774260_8_0', ':1591774260_9_0', ':1591774260_10_0', ':1591774260_11_0', ':1591774260_12_0', ':1591774260_13_0', ':1591774260_14_0', ':1591774260_15_0']"
1722770116,priority,2150.89,389.06,"['-404295023_0', '-47519280#0_0']","[':1722770116_0_0', ':1722770116_4_0', ':1722770116_2_0', ':1722770116_5_0']"
1722770137,right_before_left,1031.15,579.54,"['384196607#0_0', '-384196607#1_0']","[':1722770137_0_0', ':1722770137_1_0', ':1722770137_2_0', ':1722770137_3_0', ':1722770137_4_0', ':1722770137_5_0']"
1722770139,priority,1036.30,600.69,"['-263684087#1_0', '160212577_0', '263684087#0_0']","[':1722770139_0_0', ':1722770139_6_0', ':1722770139_2_0', ':1722770139_3_0', ':1722770139_4_0', ':1722770139_7_0']"
2180400752,dead_end,2707.62,231.36,['30025187_0'],[]
218228965,priority,2784.00,116.81,['339736822#3_0'],[':218228965_0_0']
218231022,priority,2712.81,125.36,"['83492482#1_0', '-339736822#3_0', '339736822#2_0']","[':218231022_0_0', ':218231022_1_0', ':218231022_2_0', ':218231022_3_0', ':218231022_4_0', ':218231022_9_0', ':218231022_6_0', ':218231022_10_0', ':218231022_11_0']"
218231023,priority,2525.19,158.18,"['-22737645#0_0', '-339736822#2_0', '339736822#1_0']","[':218231023_0_0', ':218231023_1_0', ':218231023_2_0', ':218231023_3_0', ':218231023_4_0', ':218231023_9_0', ':218231023_6_0', ':218231023_10_0', ':218231023_11_0']"
218231024,right_before_left,2535.50,298.25,"['-22737645#1_0', '-22737108#1_0', '22737645#0_0', '22737108#0_0']","[':218231024_0_0', ':218231024_1_0', ':218231024_2_0', ':218231024_3_0', ':218231024_4_0', ':218231024_5_0', ':218231024_6_0', ':218231024_7_0', ':218231024_8_0', ':218231024_9_0', ':218231024_10_0', ':218231024_11_0', ':218231024_12_0', ':218231024_13_0', ':218231024_14_0', ':218231024_15_0']"
218231025,priority,2389.80,306.56,"['339736822#0_0', '-22737108#0_0', '-339736822#1_0']","[':218231025_0_0', ':218231025_9_0', ':218231025_10_0', ':218231025_3_0', ':218231025_4_0', ':218231025_5_0', ':218231025_6_0', ':218231025_7_0', ':218231025_11_0']"
218231026,priority,2400.26,484.32,"['118075890#2_0', '-76047879#0_0', '-118075890#3_0']","[':218231026_0_0', ':218231026_9_0', ':218231026_10_0', ':218231026_3_0', ':218231026_4_0', ':218231026_5_0', ':218231026_6_0', ':218231026_7_0', ':218231026_11_0']"
218231027,priority,2545.85,476.09,"['-22737645#8_0', '-76047879#2_0', '22737645#7_0', '76047879#1_0']","[':218231027_0_0', ':218231027_1_0', ':218231027_2_0', ':218231027_3_0', ':218231027_4_0', ':218231027_5_0', ':218231027_16_0', ':218231027_17_0', ':218231027_8_0', ':218231027_9_0', ':218231027_10_0', ':218231027_11_0', ':218231027_12_0', ':218231027_13_0', ':218231027_18_0', ':218231027_19_0']"
218237112,priority,2406.95,594.49,"['392689404_0', '83487127#6_0']","[':218237112_0_0', ':218237112_1_0', ':218237112_2_0', ':218237112_3_0']"
218249376,right_before_left,2819.67,198.40,"['-30025170#1_0', '-20444571_0', '30025170#0_0']","[':218249376_0_0', ':218249376_1_0', ':218249376_2_0', ':218249376_3_0', ':218249376_4_0', ':218249376_5_0', ':218249376_6_0', ':218249376_7_0', ':218249376_8_0']"
218249386,right_before_left,2791.70,288.42,"['20444571_0', '30025170#3_0', '-30025170#4_0']","[':218249386_0_0', ':218249386_1_0', ':218249386_2_0', ':218249386_3_0', ':218249386_4_0', ':218249386_5_0', ':218249386_6_0', ':218249386_7_0', ':218249386_8_0']"
218252292,priority,2432.18,482.51,"['219220209#8_0', '-76047879#1_0', '-219220209#9_0', '76047879#0_0']","[':218252292_0_0', ':218252292_1_0', ':218252292_2_0', ':218252292_3_0', ':218252292_4_0', ':218252292_5_0', ':218252292_16_0', ':218252292_17_0', ':218252292_8_0', ':218252292_9_0', ':218252292_10_0', ':218252292_11_0', ':218252292_12_0', ':218252292_13_0', ':218252292_18_0', ':218252292_19_0']"
218252328,right_before_left,2554.22,615.59,"['142060075_0', '22737644#1_0', '22737645#16_0', '-22737644#2_0']","[':218252328_0_0', ':218252328_1_0', ':218252328_2_0', ':218252328_3_0', ':218252328_4_0', ':218252328_5_0', ':218252328_6_0', ':218252328_7_0', ':218252328_8_0', ':218252328_9_0', ':218252328_10_0', ':218252328_11_0', ':218252328_12_0', ':218252328_13_0', ':218252328_14_0', ':218252328_15_0']"
218253058,priority,2719.47,626.27,['-22737644#0_0'],[':218253058_0_0']
2187190480,priority,1119.10,1091.71,"['-555282429#1_0', '555282429#0_0', '208425613_0']","[':2187190480_0_0', ':2187190480_6_0', ':2187190480_2_0', ':2187190480_7_0', ':2187190480_4_0', ':2187190480_5_0']"
2187190491,dead_end,1107.07,1362.34,[],[]
2251283121,right_before_left,1672.46,399.44,"['-262879710#4_0', '262879710#3_0', '262879708_0']","[':2251283121_0_0', ':2251283121_1_0', ':2251283121_2_0', ':2251283121_3_0', ':2251283121_4_0', ':2251283121_5_0', ':2251283121_6_0', ':2251283121_7_0', ':2251283121_8_0', ':2251283121_9_0', ':2251283121_10_0', ':2251283121_11_0']"
2284118684,priority,2492.50,619.41,['22737644#4_0'],[':2284118684_0_0']
2284118687,priority,2492.11,601.24,['83492464_0'],[':2284118687_0_0']
2288512304,priority,2141.71,265.07,"['-118793670#1_0', '97050358_0', '118793670#0_0']","[':2288512304_0_0', ':2288512304_9_0', ':2288512304_10_0', ':2288512304_3_0', ':2288512304_4_0', ':2288512304_5_0', ':2288512304_6_0', ':2288512304_7_0', ':2288512304_11_0']"
2288531868,dead_end,1641.66,215.58,[],[]
2288531877,priority,1670.22,294.43,"['219716161_0', '26824662#2_0', '-26824662#3_0']","[':2288531877_0_0', ':2288531877_1_0', ':2288531877_2_0', ':2288531877_6_0', ':2288531877_4_0', ':2288531877_7_0']"
2288531878,priority,1864.27,312.66,['527759566_0'],[':2288531878_0_0']
2288531879,priority,1675.38,326.68,['219716163#1_0'],[':2288531879_0_0']
2288531880,right_before_left,1873.81,363.29,"['219716164_0', '215654684#2_0', '-215654684#3_0']","[':2288531880_0_0', ':2288531880_1_0', ':2288531880_2_0', ':2288531880_3_0', ':2288531880_4_0', ':2288531880_5_0']"
2288531884,right_before_left,1844.48,427.33,"['-215654684#5_0', '215654684#4_0']","[':2288531884_0_0', ':2288531884_1_0', ':2288531884_2_0', ':2288531884_3_0', ':2288531884_4_0', ':2288531884_5_0']"
2288531885,right_before_left,1700.09,468.79,"['47519280#3_0', '-47519280#4_0']","[':2288531885_0_0', ':2288531885_1_0', ':2288531885_2_0', ':2288531885_3_0', ':2288531885_4_0', ':2288531885_5_0']"
2288560804,priority,2206.62,649.59,['410961934_0'],"[':2288560804_0_0', ':2288560804_1_0']"
2288560814,priority,2231.07,960.68,"['548881050#0_0', '-119372733#1_0', '119372733#0_0']","[':2288560814_0_0', ':2288560814_1_0', ':2288560814_2_0', ':2288560814_3_0', ':2288560814_4_0', ':2288560814_12_0', ':2288560814_13_0', ':2288560814_14_0', ':2288560814_8_0', ':2288560814_9_0', ':2288560814_10_0', ':2288560814_15_0']"
2327939788,priority,2441.21,599.35,['-219220209#0_0'],[':2327939788_0_0']
2419392997,priority,2163.89,765.01,"['145848960#1_0', '-145848960#2_0', '142053895#2_0']","[':2419392997_0_0', ':2419392997_9_0', ':2419392997_10_0', ':2419392997_3_0', ':2419392997_4_0', ':2419392997_11_0', ':2419392997_6_0', ':2419392997_7_0', ':2419392997_8_0']"
2419392998,right_before_left,2018.48,767.58,"['142053903#2_0', '-142054665#1_0', '-142053903#3_0', '142054665#0_0']","[':2419392998_0_0', ':2419392998_1_0', ':2419392998_2_0', ':2419392998_3_0', ':2419392998_4_0', ':2419392998_5_0', ':2419392998_6_0', ':2419392998_7_0', ':2419392998_8_0', ':2419392998_9_0', ':2419392998_10_0', ':2419392998_11_0', ':2419392998_12_0', ':2419392998_13_0', ':2419392998_14_0', ':2419392998_15_0']"
2419392999,priority,2117.24,773.43,"['145848962#1_0', '-145848962#2_0', '142053895#1_0']","[':2419392999_0_0', ':2419392999_9_0', ':2419392999_10_0', ':2419392999_3_0', ':2419392999_4_0', ':2419392999_11_0', ':2419392999_6_0', ':2419392999_7_0', ':2419392999_8_0']"
2419393000,priority,2022.63,791.79,"['142053903#0_0', '-142053903#1_0', '142053895#0_0']","[':2419393000_0_0', ':2419393000_9_0', ':2419393000_10_0', ':2419393000_3_0', ':2419393000_4_0', ':2419393000_11_0', ':2419393000_6_0', ':2419393000_7_0', ':2419393000_8_0']"
243918814,right_before_left,2307.53,504.98,"['250683475#1_0', '22737646_0', '-250683475#2_0']","[':243918814_0_0', ':243918814_1_0', ':243918814_2_0', ':243918814_3_0', ':243918814_4_0', ':243918814_5_0', ':243918814_6_0', ':243918814_7_0', ':243918814_8_0']"
243918816,priority,2299.25,488.34,['-22737646_0'],[':243918816_0_0']
243918827,right_before_left,2541.50,401.60,"['-22737645#3_0', '-238046162_0', '22737645#2_0', '219220209#15_0']","[':243918827_0_0', ':243918827_1_0', ':243918827_2_0', ':243918827_3_0', ':243918827_4_0', ':243918827_5_0', ':243918827_6_0', ':243918827_7_0', ':243918827_8_0', ':243918827_9_0', ':243918827_10_0', ':243918827_11_0', ':243918827_12_0', ':243918827_13_0', ':243918827_14_0', ':243918827_15_0']"
2459136196,priority,2378.17,524.66,"['250683476#2_0', '238046163#0_0', '-250683476#3_0']","[':2459136196_0_0', ':2459136196_1_0', ':2459136196_9_0', ':2459136196_3_0', ':2459136196_4_0', ':2459136196_5_0', ':2459136196_6_0', ':2459136196_10_0', ':2459136196_11_0']"
2459136197,priority,2346.16,530.21,"['250683471#2_0', '238046163#1_0']","[':2459136197_0_0', ':2459136197_1_0']"
2495164928,dead_end,2797.16,601.88,['83492506#4_0'],[]
2495164929,dead_end,2786.13,602.52,['83492506#3_0'],[]
2495164930,dead_end,2775.10,603.15,['83492506#2_0'],[]
2495164932,dead_end,2797.83,616.07,['241947118_0'],[]
2495164933,dead_end,2786.94,616.60,['241947116_0'],[]
2495164934,dead_end,2776.05,617.13,['241947117_0'],[]
2495269404,right_before_left,2827.73,241.92,"['30025170#1_0', '-30025170#2_0']","[':2495269404_0_0', ':2495269404_1_0', ':2495269404_2_0', ':2495269404_3_0', ':2495269404_4_0', ':2495269404_5_0']"
2495269406,right_before_left,2795.59,248.91,"['30025179#0_0', '241958424_0']","[':2495269406_0_0', ':2495269406_1_0']"
2495269424,dead_end,2733.15,274.87,[],[]
2495269429,right_before_left,2708.63,295.76,"['30025270#0_0', '-30025270#1_0']","[':2495269429_0_0', ':2495269429_1_0', ':2495269429_2_0', ':2495269429_3_0', ':2495269429_4_0', ':2495269429_5_0']"
2495269430,priority,2726.75,296.52,"['30025170#6_0', '-30025170#7_0', '241958422_0']","[':2495269430_0_0', ':2495269430_6_0', ':2495269430_2_0', ':2495269430_7_0', ':2495269430_4_0', ':2495269430_5_0']"
2495269431,priority,2764.05,297.24,"['241958416_0', '30025170#5_0', '-30025170#6_0']","[':2495269431_0_0', ':2495269431_1_0', ':2495269431_2_0', ':2495269431_6_0', ':2495269431_4_0', ':2495269431_7_0']"
2495269439,priority,2778.26,310.55,['30025158#0_0'],"[':2495269439_0_0', ':2495269439_1_0']"
2510416270,priority,772.51,1130.37,['-555282429#0_0'],[':2510416270_0_0']
2570787055,priority,2399.79,476.49,"['118075890#3_0', '-118075890#4_0', '-250683475#0_0']","[':2570787055_0_0', ':2570787055_1_0', ':2570787055_9_0', ':2570787055_3_0', ':2570787055_10_0', ':2570787055_11_0', ':2570787055_6_0', ':2570787055_7_0', ':2570787055_8_0']"
2570787057,right_before_left,2361.85,494.06,"['250683475#0_0', '-250683475#1_0']","[':2570787057_0_0', ':2570787057_1_0', ':2570787057_2_0', ':2570787057_3_0', ':2570787057_4_0', ':2570787057_5_0']"
2570787062,priority,2373.58,499.92,"['250683476#3_0', '250683472_0']","[':2570787062_0_0', ':2570787062_1_0']"
2570787065,priority,2268.35,512.91,['250683475#2_0'],[':2570787065_0_0']
2570787069,priority,2067.41,537.07,['250683470#1_0'],[':2570787069_0_0']
2570787076,right_before_left,2354.12,573.19,"['250683471#1_0', '-250683476#1_0', '-250683471#2_0', '250683476#0_0']","[':2570787076_0_0', ':2570787076_1_0', ':2570787076_2_0', ':2570787076_3_0', ':2570787076_4_0', ':2570787076_5_0', ':2570787076_6_0', ':2570787076_7_0', ':2570787076_8_0', ':2570787076_9_0', ':2570787076_10_0', ':2570787076_11_0', ':2570787076_12_0', ':2570787076_13_0', ':2570787076_14_0', ':2570787076_15_0']"
2570787086,priority,2254.51,592.18,"['250683473#1_0', '-250683476#0_0']","[':2570787086_0_0', ':2570787086_4_0', ':2570787086_2_0', ':2570787086_5_0']"
2570787092,priority,2358.32,603.71,"['-83487127#5_0', '-250683471#0_0', '83487127#4_0']","[':2570787092_0_0', ':2570787092_9_0', ':2570787092_10_0', ':2570787092_3_0', ':2570787092_4_0', ':2570787092_5_0', ':2570787092_6_0', ':2570787092_7_0', ':2570787092_11_0']"
2570787094,priority,2253.91,623.47,"['-83487127#4_0', '-250683473#0_0', '83487127#3_0']","[':2570787094_0_0', ':2570787094_9_0', ':2570787094_10_0', ':2570787094_3_0', ':2570787094_4_0', ':2570787094_5_0', ':2570787094_6_0', ':2570787094_7_0', ':2570787094_11_0']"
2570787098,right_before_left,2088.43,663.57,"['-370878973#0_0', '-250683470#0_0', '219719294#3_0']","[':2570787098_0_0', ':2570787098_1_0', ':2570787098_2_0', ':2570787098_3_0', ':2570787098_4_0', ':2570787098_5_0', ':2570787098_6_0', ':2570787098_7_0', ':2570787098_8_0']"
2570787101,priority,1907.28,695.86,"['-408197310#1_0', '-219719294#3_0', '408197310#0_0', '219719294#2_0']","[':2570787101_0_0', ':2570787101_1_0', ':2570787101_16_0', ':2570787101_17_0', ':2570787101_4_0', ':2570787101_5_0', ':2570787101_6_0', ':2570787101_7_0', ':2570787101_8_0', ':2570787101_9_0', ':2570787101_18_0', ':2570787101_19_0', ':2570787101_12_0', ':2570787101_13_0', ':2570787101_14_0', ':2570787101_15_0']"
2570787110,priority,1908.55,703.74,"['-408197310#2_0', '219719296#3_0', '408197310#1_0']","[':2570787110_0_0', ':2570787110_6_0', ':2570787110_2_0', ':2570787110_3_0', ':2570787110_4_0', ':2570787110_7_0']"
2611625307,dead_end,1242.75,0.00,[],[]
2611625344,dead_end,0.00,859.38,"['362262995_0', '362262995_1', '362262995_2']",[]
2685393342,right_before_left,1426.43,444.72,"['96144327#0_0', '262879704_0']","[':2685393342_0_0', ':2685393342_1_0']"
2685393343,right_before_left,1472.57,423.43,"['-262879710#0_0', '262879709_0']","[':2685393343_0_0', ':2685393343_1_0', ':2685393343_2_0', ':2685393343_3_0']"
2685393356,dead_end,1582.36,473.41,[],[]
2685393358,dead_end,1577.23,444.79,['262879706_0'],[]
2685393359,priority,1572.60,416.62,"['262879707_0', '-262879708_0', '140538733_0']","[':2685393359_0_0', ':2685393359_4_0', ':2685393359_2_0', ':2685393359_5_0']"
2685393361,right_before_left,1466.58,436.06,"['262879710#4_0', '-140538733_0', '262879705_0']","[':2685393361_0_0', ':2685393361_1_0', ':2685393361_2_0', ':2685393361_3_0', ':2685393361_4_0', ':2685393361_5_0', ':2685393361_6_0', ':2685393361_7_0', ':2685393361_8_0']"
